"",BBSF2.M.1.T.00000.ALT01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.ALT01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Funds total / Pension investment funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:19,
2009-09,85,
2009-10,88,
2009-11,88,
2009-12,89,
2010-01,64,
2010-02,69,
2010-03,73,
2010-04,70,
2010-05,69,
2010-06,67,
2010-07,71,
2010-08,67,
2010-09,68,
2010-10,69,
2010-11,72,
2010-12,70,
2011-01,67,
2011-02,74,
2011-03,75,
2011-04,73,
2011-05,79,
2011-06,78,
2011-07,74,
2011-08,74,
2011-09,112,
2011-10,103,
2011-11,110,
2011-12,125,
2012-01,147,
2012-02,148,
2012-03,142,
2012-04,147,
2012-05,136,
2012-06,130,
2012-07,132,
2012-08,119,
2012-09,133,
2012-10,118,
2012-11,104,
2012-12,110,
2013-01,104,
2013-02,105,
2013-03,99,
2013-04,98,
2013-05,103,
2013-06,105,
2013-07,106,
2013-08,108,
2013-09,108,
2013-10,112,
2013-11,115,
2013-12,114,
2014-01,103,
2014-02,103,
2014-03,103,
2014-04,102,
2014-05,104,
2014-06,106,
2014-07,104,
2014-08,103,
2014-09,105,
2014-10,101,
2014-11,96,
