"",BBSF2.M.1.T.00000.DAK01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAK01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Equity funds / Deposits and loan claims,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:22,
2009-09,120,
2009-10,140,
2009-11,103,
2009-12,81,
2010-01,73,
2010-02,73,
2010-03,67,
2010-04,120,
2010-05,115,
2010-06,94,
2010-07,90,
2010-08,104,
2010-09,93,
2010-10,106,
2010-11,96,
2010-12,81,
2011-01,98,
2011-02,114,
2011-03,109,
2011-04,91,
2011-05,101,
2011-06,80,
2011-07,71,
2011-08,102,
2011-09,104,
2011-10,84,
2011-11,109,
2011-12,102,
2012-01,89,
2012-02,86,
2012-03,98,
2012-04,102,
2012-05,115,
2012-06,107,
2012-07,80,
2012-08,64,
2012-09,65,
2012-10,55,
2012-11,62,
2012-12,55,
2013-01,67,
2013-02,94,
2013-03,74,
2013-04,72,
2013-05,100,
2013-06,121,
2013-07,102,
2013-08,104,
2013-09,88,
2013-10,83,
2013-11,77,
2013-12,78,
2014-01,92,
2014-02,88,
2014-03,81,
2014-04,103,
2014-05,81,
2014-06,83,
2014-07,88,
2014-08,108,
2014-09,103,
2014-10,93,
2014-11,66,
