"",BBSF2.M.1.T.00000.DGW01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DGW01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Mixed securities funds / Number,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:47:07,
2009-09,51,
2009-10,50,
2009-11,51,
2009-12,55,
2010-01,51,
2010-02,51,
2010-03,53,
2010-04,52,
2010-05,52,
2010-06,54,
2010-07,53,
2010-08,53,
2010-09,60,
2010-10,60,
2010-11,60,
2010-12,59,
2011-01,58,
2011-02,59,
2011-03,59,
2011-04,58,
2011-05,57,
2011-06,55,
2011-07,55,
2011-08,55,
2011-09,55,
2011-10,55,
2011-11,54,
2011-12,53,
2012-01,55,
2012-02,54,
2012-03,54,
2012-04,54,
2012-05,54,
2012-06,53,
2012-07,53,
2012-08,53,
2012-09,53,
2012-10,53,
2012-11,53,
2012-12,53,
2013-01,53,
2013-02,53,
2013-03,53,
2013-04,53,
2013-05,53,
2013-06,53,
2013-07,53,
2013-08,53,
2013-09,51,
2013-10,52,
2013-11,52,
2013-12,54,
2014-01,54,
2014-02,55,
2014-03,55,
2014-04,55,
2014-05,54,
2014-06,54,
2014-07,54,
2014-08,54,
2014-09,54,
2014-10,53,
2014-11,53,
