"",BBSF2.M.1.T.00000.DHE01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.T.00000.DHE01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Funds total / Funds-of-funds: Hedge funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:53,
2009-09,55,
2009-10,56,
2009-11,43,
2009-12,51,
2010-01,48,
2010-02,46,
2010-03,55,
2010-04,71,
2010-05,76,
2010-06,68,
2010-07,77,
2010-08,78,
2010-09,27,
2010-10,34,
2010-11,30,
2010-12,20,
2011-01,2,
2011-02,3,
2011-03,2,
2011-04,6,
2011-05,3,
2011-06,15,
2011-07,5,
2011-08,4,
2011-09,2,
2011-10,2,
2011-11,1,
2011-12,1,
2012-01,2,
2012-02,3,
2012-03,1,
2012-04,51,
2012-05,2,
2012-06,1,
2012-07,2,
2012-08,3,
2012-09,2,
2012-10,46,
2012-11,1,
2012-12,44,
2013-01,5,
2013-02,2,
2013-03,35,
2013-04,3,
2013-05,2,
2013-06,1,
2013-07,1,
2013-08,1,
2013-09,2,
2013-10,1,
2013-11,1,
2013-12,1,
2014-01,1,
2014-02,2,
2014-03,2,
2014-04,11,
2014-05,0,
2014-06,0,
2014-07,0,
2014-08,0,
2014-09,0,
2014-10,0,
2014-11,0,
