"",BBSF2.M.1.T.00000.DHE01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.T.00000.DHE01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Funds total / Funds-of-funds: Hedge funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:53,
2009-09,18,
2009-10,19,
2009-11,17,
2009-12,20,
2010-01,18,
2010-02,14,
2010-03,11,
2010-04,10,
2010-05,9,
2010-06,7,
2010-07,11,
2010-08,15,
2010-09,18,
2010-10,18,
2010-11,22,
2010-12,23,
2011-01,22,
2011-02,22,
2011-03,23,
2011-04,22,
2011-05,21,
2011-06,22,
2011-07,22,
2011-08,21,
2011-09,21,
2011-10,19,
2011-11,19,
2011-12,18,
2012-01,17,
2012-02,16,
2012-03,16,
2012-04,17,
2012-05,15,
2012-06,16,
2012-07,16,
2012-08,14,
2012-09,15,
2012-10,16,
2012-11,15,
2012-12,15,
2013-01,15,
2013-02,17,
2013-03,17,
2013-04,17,
2013-05,16,
2013-06,16,
2013-07,16,
2013-08,15,
2013-09,15,
2013-10,15,
2013-11,15,
2013-12,14,
2014-01,14,
2014-02,13,
2014-03,13,
2014-04,6,
2014-05,6,
2014-06,7,
2014-07,6,
2014-08,6,
2014-09,7,
2014-10,7,
2014-11,7,
