"",BBSF2.M.1.T.00000.DSO01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DSO01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Other funds / Loans received,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:07,
2009-09,1,
2009-10,6,
2009-11,16,
2009-12,1,
2010-01,1,
2010-02,4,
2010-03,0,
2010-04,2,
2010-05,4,
2010-06,0,
2010-07,1,
2010-08,2,
2010-09,9,
2010-10,10,
2010-11,7,
2010-12,1,
2011-01,28,
2011-02,4,
2011-03,4,
2011-04,1,
2011-05,6,
2011-06,2,
2011-07,0,
2011-08,1,
2011-09,1,
2011-10,16,
2011-11,5,
2011-12,2,
2012-01,5,
2012-02,2,
2012-03,9,
2012-04,3,
2012-05,2,
2012-06,1,
2012-07,25,
2012-08,1,
2012-09,6,
2012-10,2,
2012-11,5,
2012-12,2,
2013-01,8,
2013-02,4,
2013-03,0,
2013-04,40,
2013-05,10,
2013-06,12,
2013-07,4,
2013-08,2,
2013-09,7,
2013-10,6,
2013-11,3,
2013-12,0,
2014-01,2,
2014-02,0,
2014-03,2,
2014-04,15,
2014-05,18,
2014-06,1,
2014-07,0,
2014-08,5,
2014-09,9,
2014-10,1,
2014-11,23,
