"",BBSF2.M.1.T.00000.DSO01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DSO01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Funds total / Funds-of-funds: Other funds / Long-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:03,
2009-09,83,
2009-10,83,
2009-11,85,
2009-12,109,
2010-01,128,
2010-02,140,
2010-03,142,
2010-04,130,
2010-05,132,
2010-06,135,
2010-07,148,
2010-08,146,
2010-09,147,
2010-10,148,
2010-11,146,
2010-12,123,
2011-01,120,
2011-02,123,
2011-03,131,
2011-04,128,
2011-05,129,
2011-06,126,
2011-07,245,
2011-08,248,
2011-09,299,
2011-10,295,
2011-11,281,
2011-12,258,
2012-01,213,
2012-02,209,
2012-03,180,
2012-04,223,
2012-05,209,
2012-06,209,
2012-07,202,
2012-08,204,
2012-09,245,
2012-10,244,
2012-11,235,
2012-12,243,
2013-01,167,
2013-02,173,
2013-03,152,
2013-04,152,
2013-05,181,
2013-06,180,
2013-07,186,
2013-08,173,
2013-09,172,
2013-10,213,
2013-11,217,
2013-12,214,
2014-01,222,
2014-02,213,
2014-03,211,
2014-04,206,
2014-05,205,
2014-06,203,
2014-07,205,
2014-08,208,
2014-09,204,
2014-10,167,
2014-11,173,
