"",BBSF2.M.1.T.00000.REN01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.REN01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Bonds funds / Loans received,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:30,
2009-09,48,
2009-10,36,
2009-11,24,
2009-12,21,
2010-01,47,
2010-02,35,
2010-03,56,
2010-04,68,
2010-05,128,
2010-06,37,
2010-07,296,
2010-08,126,
2010-09,444,
2010-10,309,
2010-11,506,
2010-12,369,
2011-01,497,
2011-02,659,
2011-03,628,
2011-04,981,
2011-05,601,
2011-06,375,
2011-07,477,
2011-08,303,
2011-09,473,
2011-10,664,
2011-11,417,
2011-12,286,
2012-01,625,
2012-02,316,
2012-03,226,
2012-04,565,
2012-05,689,
2012-06,799,
2012-07,905,
2012-08,1160,
2012-09,1208,
2012-10,938,
2012-11,1276,
2012-12,1161,
2013-01,990,
2013-02,1082,
2013-03,991,
2013-04,870,
2013-05,1021,
2013-06,703,
2013-07,717,
2013-08,1015,
2013-09,470,
2013-10,1483,
2013-11,648,
2013-12,440,
2014-01,1018,
2014-02,705,
2014-03,250,
2014-04,473,
2014-05,557,
2014-06,287,
2014-07,675,
2014-08,930,
2014-09,812,
2014-10,1022,
2014-11,527,
