"",BBSF2.M.1.T.00000.SON01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.SON01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Other funds / Number,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:36:07,
2009-09,50,
2009-10,57,
2009-11,60,
2009-12,42,
2010-01,48,
2010-02,48,
2010-03,48,
2010-04,49,
2010-05,49,
2010-06,49,
2010-07,51,
2010-08,49,
2010-09,49,
2010-10,51,
2010-11,51,
2010-12,55,
2011-01,56,
2011-02,56,
2011-03,57,
2011-04,52,
2011-05,57,
2011-06,59,
2011-07,59,
2011-08,66,
2011-09,68,
2011-10,108,
2011-11,129,
2011-12,131,
2012-01,132,
2012-02,131,
2012-03,131,
2012-04,127,
2012-05,125,
2012-06,123,
2012-07,124,
2012-08,124,
2012-09,124,
2012-10,125,
2012-11,123,
2012-12,126,
2013-01,126,
2013-02,125,
2013-03,127,
2013-04,126,
2013-05,128,
2013-06,129,
2013-07,155,
2013-08,155,
2013-09,155,
2013-10,155,
2013-11,153,
2013-12,154,
2014-01,155,
2014-02,157,
2014-03,157,
2014-04,156,
2014-05,164,
2014-06,158,
2014-07,156,
2014-08,176,
2014-09,172,
2014-10,171,
2014-11,174,
