"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.GB.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.GB.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / United Kingdom,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:04,
2009-09,30931,
2009-10,32362,
2009-11,32758,
2009-12,32873,
2010-01,34117,
2010-02,34515,
2010-03,35505,
2010-04,36517,
2010-05,36526,
2010-06,36759,
2010-07,37724,
2010-08,39217,
2010-09,40339,
2010-10,41455,
2010-11,41641,
2010-12,41272,
2011-01,41361,
2011-02,40863,
2011-03,41316,
2011-04,41443,
2011-05,42218,
2011-06,42109,
2011-07,42405,
2011-08,42057,
2011-09,41956,
2011-10,38161,
2011-11,41658,
2011-12,42325,
2012-01,43679,
2012-02,45117,
2012-03,45813,
2012-04,46584,
2012-05,47298,
2012-06,47158,
2012-07,47982,
2012-08,47912,
2012-09,47249,
2012-10,46706,
2012-11,45940,
2012-12,46266,
2013-01,43729,
2013-02,44106,
2013-03,44442,
2013-04,44707,
2013-05,43798,
2013-06,42983,
2013-07,43094,
2013-08,42729,
2013-09,42700,
2013-10,42444,
2013-11,43424,
2013-12,42717,
2014-01,42419,
2014-02,43024,
2014-03,43068,
2014-04,43458,
2014-05,44550,
2014-06,46749,
2014-07,46818,
2014-08,47788,
2014-09,49263,
2014-10,49321,
2014-11,51207,
