"",2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,EURO,EURO,EURO,EURO,EURO,EURO,EURO,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,
Record meth,Manual,Manual,,,,,,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.592,13.592,13.592
1991-04,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.834,13.834,13.834
1991-07,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,14.758,14.758,14.758
1991-10,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,14.706,14.706,14.706
1992-01,15.57,15.57,15.57,15.57,15.57,15.57,15.57,15.57,15.57,15.57,15.57,15.57,15.587,15.587,15.587
1992-04,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.092,15.092,15.092
1992-07,16.69,16.69,16.69,16.69,16.69,16.69,16.69,16.69,16.69,16.69,16.69,16.69,16.610,16.610,16.610
1992-10,17.33,17.33,17.33,17.33,17.33,17.33,17.33,17.33,17.33,17.33,17.33,17.33,16.407,16.407,16.407
1993-01,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.734,15.734,15.734
1993-04,15.66,15.66,15.66,15.66,15.66,15.66,15.66,15.66,15.66,15.66,15.66,15.66,15.625,15.625,15.625
1993-07,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.673,16.673,16.673
1993-10,17.43,17.43,17.43,17.43,17.43,17.43,17.43,17.43,17.43,17.43,17.43,17.43,16.735,16.735,16.735
1994-01,16.54,16.54,16.54,16.54,16.54,16.54,16.54,16.54,16.54,16.54,16.54,16.54,16.868,16.868,16.868
1994-04,16.12,16.12,16.12,16.12,16.12,16.12,16.12,16.12,16.12,16.12,16.12,16.12,16.376,16.376,16.376
1994-07,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.802,17.802,17.802
1994-10,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,17.829,17.829,17.829
1995-01,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.486,17.486,17.486
1995-04,16.76,16.76,16.76,16.76,16.76,16.76,16.76,16.76,16.76,16.76,16.76,16.76,16.971,16.971,16.971
1995-07,18.10,18.10,18.10,18.10,18.10,18.10,18.10,18.10,18.10,18.10,18.10,18.10,18.334,18.334,18.334
1995-10,19.12,19.12,19.12,19.12,19.12,19.12,19.12,19.12,19.12,19.12,19.12,19.12,18.351,18.351,18.351
1996-01,17.64,17.64,17.64,17.64,17.64,17.64,17.64,17.64,17.64,17.64,17.64,17.64,18.110,18.110,18.110
1996-04,17.30,17.30,17.30,17.30,17.30,17.30,17.30,17.30,17.30,17.30,17.30,17.30,17.593,17.593,17.593
1996-07,18.70,18.70,18.70,18.70,18.70,18.70,18.70,18.70,18.70,18.70,18.70,18.70,18.940,18.940,18.940
1996-10,19.66,19.66,19.66,19.66,19.66,19.66,19.66,19.66,19.66,19.66,19.66,19.66,18.862,18.862,18.862
1997-01,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.377,18.377,18.377
1997-04,17.90,17.90,17.90,17.90,17.90,17.90,17.90,17.90,17.90,17.90,17.90,17.90,18.165,18.165,18.165
1997-07,18.95,18.95,18.95,18.95,18.95,18.95,18.95,18.95,18.95,18.95,18.95,18.95,19.187,19.187,19.187
1997-10,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.172,19.172,19.172
1998-01,18.23,18.23,18.23,18.23,18.23,18.23,18.23,18.23,18.23,18.23,18.23,18.23,18.548,18.548,18.548
1998-04,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,18.099,18.099,18.099
1998-07,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.577,19.577,19.577
1998-10,20.82,20.82,20.82,20.82,20.82,20.82,20.82,20.82,20.82,20.82,20.82,20.82,19.804,19.804,19.804
1999-01,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,19.171,19.171,19.171
1999-04,18.71,18.71,18.71,18.71,18.71,18.71,18.71,18.71,18.71,18.71,18.71,18.71,18.927,18.927,18.927
1999-07,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,20.128,20.128,20.128
1999-10,21.28,21.28,21.28,21.28,21.28,21.28,21.28,21.28,21.28,21.28,21.28,21.28,20.407,20.407,20.407
