"",2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,,,,,,,,2005,2005,2005,2005,2005,2010,2010
Record meth,Manual,Manual,,,,,,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,118.41,118.41,118.41,118.41,118.41,118.41,118.41,118.41,118.41,118.41,118.41,118.41,121.34,121.34
1991-04,110.61,110.61,110.61,110.61,110.61,110.61,110.61,110.61,110.61,110.61,110.61,110.61,112.52,112.52
1991-07,118.68,118.68,118.68,118.68,118.68,118.68,118.68,118.68,118.68,118.68,118.68,118.68,120.75,120.75
1991-10,115.96,115.96,115.96,115.96,115.96,115.96,115.96,115.96,115.96,115.96,115.96,115.96,117.78,117.78
1992-01,117.52,117.52,117.52,117.52,117.52,117.52,117.52,117.52,117.52,117.52,117.52,117.52,120.35,120.35
1992-04,107.00,107.00,107.00,107.00,107.00,107.00,107.00,107.00,107.00,107.00,107.00,107.00,109.48,109.48
1992-07,115.19,115.19,115.19,115.19,115.19,115.19,115.19,115.19,115.19,115.19,115.19,115.19,117.69,117.69
1992-10,113.56,113.56,113.56,113.56,113.56,113.56,113.56,113.56,113.56,113.56,113.56,113.56,115.78,115.78
1993-01,115.05,115.05,115.05,115.05,115.05,115.05,115.05,115.05,115.05,115.05,115.05,115.05,117.04,117.04
1993-04,106.59,106.59,106.59,106.59,106.59,106.59,106.59,106.59,106.59,106.59,106.59,106.59,108.18,108.18
1993-07,114.47,114.47,114.47,114.47,114.47,114.47,114.47,114.47,114.47,114.47,114.47,114.47,116.35,116.35
1993-10,113.15,113.15,113.15,113.15,113.15,113.15,113.15,113.15,113.15,113.15,113.15,113.15,114.86,114.86
1994-01,113.10,113.10,113.10,113.10,113.10,113.10,113.10,113.10,113.10,113.10,113.10,113.10,115.02,115.02
1994-04,103.79,103.79,103.79,103.79,103.79,103.79,103.79,103.79,103.79,103.79,103.79,103.79,105.15,105.15
1994-07,111.93,111.93,111.93,111.93,111.93,111.93,111.93,111.93,111.93,111.93,111.93,111.93,113.46,113.46
1994-10,109.80,109.80,109.80,109.80,109.80,109.80,109.80,109.80,109.80,109.80,109.80,109.80,111.07,111.07
1995-01,109.23,109.23,109.23,109.23,109.23,109.23,109.23,109.23,109.23,109.23,109.23,109.23,111.45,111.45
1995-04,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,101.28,101.28
1995-07,108.28,108.28,108.28,108.28,108.28,108.28,108.28,108.28,108.28,108.28,108.28,108.28,110.04,110.04
1995-10,107.79,107.79,107.79,107.79,107.79,107.79,107.79,107.79,107.79,107.79,107.79,107.79,109.24,109.24
1996-01,108.72,108.72,108.72,108.72,108.72,108.72,108.72,108.72,108.72,108.72,108.72,108.72,110.41,110.41
1996-04,99.53,99.53,99.53,99.53,99.53,99.53,99.53,99.53,99.53,99.53,99.53,99.53,100.80,100.80
