"",2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19,2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,Stunden,Stunden,Stunden,Stunden,Stunden,Stunden,Stunden
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,287.5341,287.5341,287.5341,287.5341,287.5341,287.5341,287.5341,287.5341,287.5341,287.5341,287.5341,287.5341,287.5341,287.5341,287.5341,287.5341,287.5341,183.7122,183.7122,183.7122,183.7122,183.7122,183.7122,183.7122,183.7122,183.7122,183.7122,183.7122,183.7122,189.4095,189.4095
1991-04,258.9230,258.9230,258.9230,258.9230,258.9230,258.9230,258.9230,258.9230,258.9230,258.9230,258.9230,258.9230,258.9230,258.9230,258.9230,258.9230,258.9230,169.8878,169.8878,169.8878,169.8878,169.8878,169.8878,169.8878,169.8878,169.8878,169.8878,169.8878,169.8878,174.6525,174.6525
1991-07,268.7092,268.7092,268.7092,268.7092,268.7092,268.7092,268.7092,268.7092,268.7092,268.7092,268.7092,268.7092,268.7092,268.7092,268.7092,268.7092,268.7092,178.1151,178.1151,178.1151,178.1151,178.1151,178.1151,178.1151,178.1151,178.1151,178.1151,178.1151,178.1151,182.1461,182.1461
1991-10,246.6856,246.6856,246.6856,246.6856,246.6856,246.6856,246.6856,246.6856,246.6856,246.6856,246.6856,246.6856,246.6856,246.6856,246.6856,246.6856,246.6856,166.6196,166.6196,166.6196,166.6196,166.6196,166.6196,166.6196,166.6196,166.6196,166.6196,166.6196,166.6196,171.6413,171.6413
1992-01,226.4520,226.4520,226.4520,226.4520,226.4520,226.4520,226.4520,226.4520,226.4520,226.4520,226.4520,226.4520,226.4520,226.4520,226.4520,226.4520,226.4520,150.5430,150.5430,150.5430,150.5430,150.5430,150.5430,150.5430,150.5430,150.5430,150.5430,150.5430,150.5430,155.0337,155.0337
1992-04,223.1658,223.1658,223.1658,223.1658,223.1658,223.1658,223.1658,223.1658,223.1658,223.1658,223.1658,223.1658,223.1658,223.1658,223.1658,223.1658,223.1658,149.4252,149.4252,149.4252,149.4252,149.4252,149.4252,149.4252,149.4252,149.4252,149.4252,149.4252,149.4252,154.2871,154.2871
1992-07,232.7486,232.7486,232.7486,232.7486,232.7486,232.7486,232.7486,232.7486,232.7486,232.7486,232.7486,232.7486,232.7486,232.7486,232.7486,232.7486,232.7486,156.7720,156.7720,156.7720,156.7720,156.7720,156.7720,156.7720,156.7720,156.7720,156.7720,156.7720,156.7720,161.8447,161.8447
1992-10,212.6671,212.6671,212.6671,212.6671,212.6671,212.6671,212.6671,212.6671,212.6671,212.6671,212.6671,212.6671,212.6671,212.6671,212.6671,212.6671,212.6671,144.1190,144.1190,144.1190,144.1190,144.1190,144.1190,144.1190,144.1190,144.1190,144.1190,144.1190,144.1190,149.5427,149.5427
1993-01,195.2880,195.2880,195.2880,195.2880,195.2880,195.2880,195.2880,195.2880,195.2880,195.2880,195.2880,195.2880,195.2880,195.2880,195.2880,195.2880,195.2880,130.3726,130.3726,130.3726,130.3726,130.3726,130.3726,130.3726,130.3726,130.3726,130.3726,130.3726,130.3726,133.3929,133.3929
1993-04,200.2482,200.2482,200.2482,200.2482,200.2482,200.2482,200.2482,200.2482,200.2482,200.2482,200.2482,200.2482,200.2482,200.2482,200.2482,200.2482,200.2482,134.6047,134.6047,134.6047,134.6047,134.6047,134.6047,134.6047,134.6047,134.6047,134.6047,134.6047,134.6047,136.0500,136.0500
1993-07,214.5024,214.5024,214.5024,214.5024,214.5024,214.5024,214.5024,214.5024,214.5024,214.5024,214.5024,214.5024,214.5024,214.5024,214.5024,214.5024,214.5024,144.0602,144.0602,144.0602,144.0602,144.0602,144.0602,144.0602,144.0602,144.0602,144.0602,144.0602,144.0602,146.8613,146.8613
1993-10,201.6339,201.6339,201.6339,201.6339,201.6339,201.6339,201.6339,201.6339,201.6339,201.6339,201.6339,201.6339,201.6339,201.6339,201.6339,201.6339,201.6339,136.2384,136.2384,136.2384,136.2384,136.2384,136.2384,136.2384,136.2384,136.2384,136.2384,136.2384,136.2384,139.3246,139.3246
1994-01,187.7232,187.7232,187.7232,187.7232,187.7232,187.7232,187.7232,187.7232,187.7232,187.7232,187.7232,187.7232,187.7232,187.7232,187.7232,187.7232,187.7232,126.6473,126.6473,126.6473,126.6473,126.6473,126.6473,126.6473,126.6473,126.6473,126.6473,126.6473,126.6473,128.3608,128.3608
1994-04,193.5157,193.5157,193.5157,193.5157,193.5157,193.5157,193.5157,193.5157,193.5157,193.5157,193.5157,193.5157,193.5157,193.5157,193.5157,193.5157,193.5157,131.0324,131.0324,131.0324,131.0324,131.0324,131.0324,131.0324,131.0324,131.0324,131.0324,131.0324,131.0324,131.3890,131.3890
1994-07,212.3935,212.3935,212.3935,212.3935,212.3935,212.3935,212.3935,212.3935,212.3935,212.3935,212.3935,212.3935,212.3935,212.3935,212.3935,212.3935,212.3935,142.9735,142.9735,142.9735,142.9735,142.9735,142.9735,142.9735,142.9735,142.9735,142.9735,142.9735,142.9735,144.3943,144.3943
1994-10,202.7008,202.7008,202.7008,202.7008,202.7008,202.7008,202.7008,202.7008,202.7008,202.7008,202.7008,202.7008,202.7008,202.7008,202.7008,202.7008,202.7008,136.8188,136.8188,136.8188,136.8188,136.8188,136.8188,136.8188,136.8188,136.8188,136.8188,136.8188,136.8188,138.2308,138.2308
1995-01,184.1400,184.1400,184.1400,184.1400,184.1400,184.1400,184.1400,184.1400,184.1400,184.1400,184.1400,184.1400,184.1400,184.1400,184.1400,184.1400,184.1400,124.0816,124.0816,124.0816,124.0816,124.0816,124.0816,124.0816,124.0816,124.0816,124.0816,124.0816,124.0816,126.7491,126.7491
1995-04,191.0412,191.0412,191.0412,191.0412,191.0412,191.0412,191.0412,191.0412,191.0412,191.0412,191.0412,191.0412,191.0412,191.0412,191.0412,191.0412,191.0412,129.2432,129.2432,129.2432,129.2432,129.2432,129.2432,129.2432,129.2432,129.2432,129.2432,129.2432,129.2432,129.5357,129.5357
1995-07,206.3758,206.3758,206.3758,206.3758,206.3758,206.3758,206.3758,206.3758,206.3758,206.3758,206.3758,206.3758,206.3758,206.3758,206.3758,206.3758,206.3758,139.4391,139.4391,139.4391,139.4391,139.4391,139.4391,139.4391,139.4391,139.4391,139.4391,139.4391,139.4391,140.7206,140.7206
1995-10,197.6562,197.6562,197.6562,197.6562,197.6562,197.6562,197.6562,197.6562,197.6562,197.6562,197.6562,197.6562,197.6562,197.6562,197.6562,197.6562,197.6562,133.3902,133.3902,133.3902,133.3902,133.3902,133.3902,133.3902,133.3902,133.3902,133.3902,133.3902,133.3902,135.3833,135.3833
1996-01,167.3063,167.3063,167.3063,167.3063,167.3063,167.3063,167.3063,167.3063,167.3063,167.3063,167.3063,167.3063,167.3063,167.3063,167.3063,167.3063,167.3063,114.1173,114.1173,114.1173,114.1173,114.1173,114.1173,114.1173,114.1173,114.1173,114.1173,114.1173,114.1173,115.0801,115.0801
