"",2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,137.69,137.69,137.69,137.69,137.69,137.69,137.69,137.69,137.69,137.69,137.69,137.69,137.69,137.69,137.69,137.69,137.69,141.12,141.12,141.12,141.12,141.12,141.12,141.12,141.12,141.12,141.12,141.12,141.12,140.565,140.565,140.565
1991-04,149.68,149.68,149.68,149.68,149.68,149.68,149.68,149.68,149.68,149.68,149.68,149.68,149.68,149.68,149.68,149.68,149.68,153.84,153.84,153.84,153.84,153.84,153.84,153.84,153.84,153.84,153.84,153.84,153.84,152.935,152.935,152.935
1991-07,154.99,154.99,154.99,154.99,154.99,154.99,154.99,154.99,154.99,154.99,154.99,154.99,154.99,154.99,154.99,154.99,154.99,158.32,158.32,158.32,158.32,158.32,158.32,158.32,158.32,158.32,158.32,158.32,158.32,157.667,157.667,157.667
1991-10,175.37,175.37,175.37,175.37,175.37,175.37,175.37,175.37,175.37,175.37,175.37,175.37,175.37,175.37,175.37,175.37,175.37,179.86,179.86,179.86,179.86,179.86,179.86,179.86,179.86,179.86,179.86,179.86,179.86,178.313,178.313,178.313
1992-01,150.72,150.72,150.72,150.72,150.72,150.72,150.72,150.72,150.72,150.72,150.72,150.72,150.72,150.72,150.72,150.72,150.72,154.41,154.41,154.41,154.41,154.41,154.41,154.41,154.41,154.41,154.41,154.41,154.41,153.798,153.798,153.798
1992-04,161.25,161.25,161.25,161.25,161.25,161.25,161.25,161.25,161.25,161.25,161.25,161.25,161.25,161.25,161.25,161.25,161.25,165.60,165.60,165.60,165.60,165.60,165.60,165.60,165.60,165.60,165.60,165.60,165.60,164.562,164.562,164.562
