"",2005-05-12,2005-08-11,2005-11-15,2006-02-14,2006-05-11,2006-08-14,2006-11-14,2007-02-13,2007-05-15,2007-08-14,2007-11-14,2008-02-14,2008-05-15,2008-08-14,2008-11-13,2009-02-13,2009-05-15,2009-08-13,2009-11-13,2010-02-12,2010-05-12,2010-08-13,2010-11-12,2011-02-15,2011-05-13,2011-08-16,2011-11-15,2012-02-15,2012-05-15,2012-08-14,2012-11-15,2013-02-14,2013-05-15,2013-08-14,2013-11-14,2014-02-14,2014-05-15,2014-08-14,2014-11-14,2015-02-13
unit,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,Anzahl,Anzahl,Anzahl
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Manual,Computerised,Computerised,Computerised,Computerised,Manual,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,35.513,35.513,35.514,35.513,35.517,35.513,35.513,35.513,35.514,35.513,35.513,35.513,35.518,35.513,35.514,35.514,35.513,35.513,35.513,35.513,35.513,35.513,35.513,35.513,35.513,35.488,35.488,35.488,35.488,35.488,35.488,35.488,35.487,35.487,35.487,35.487,35.487,,35.545,35.545
1991-04,35.237,35.237,35.237,35.237,35.236,35.237,35.237,35.237,35.237,35.237,35.237,35.237,35.235,35.237,35.237,35.237,35.237,35.237,35.237,35.237,35.237,35.237,35.237,35.237,35.237,35.285,35.285,35.285,35.285,35.285,35.285,35.285,35.285,35.285,35.285,35.285,35.285,,35.358,35.358
1991-07,34.875,34.875,34.875,34.875,34.874,34.875,34.875,34.875,34.875,34.875,34.875,34.875,34.874,34.875,34.875,34.875,34.875,34.875,34.875,34.875,34.875,34.875,34.875,34.875,34.875,34.950,34.950,34.950,34.950,34.950,34.950,34.950,34.950,34.950,34.950,34.950,34.950,,35.035,35.035
1991-10,34.783,34.783,34.782,34.783,34.781,34.783,34.782,34.783,34.782,34.782,34.783,34.783,34.781,34.783,34.782,34.782,34.782,34.782,34.782,34.782,34.782,34.782,34.782,34.782,34.782,34.870,34.870,34.870,34.870,34.870,34.870,34.870,34.870,34.870,34.870,34.870,34.870,,34.972,34.973
1992-01,34.731,34.731,34.731,34.731,34.735,34.731,34.731,34.731,34.731,34.731,34.731,34.731,34.735,34.731,34.731,34.731,34.731,34.731,34.731,34.731,34.731,34.731,34.731,34.731,34.731,34.788,34.788,34.788,34.788,34.788,34.788,34.788,34.788,34.788,34.788,34.788,34.788,34.903,34.903,34.903
1992-04,34.581,34.581,34.581,34.581,34.579,34.581,34.581,34.581,34.581,34.581,34.581,34.581,34.579,34.581,34.581,34.581,34.581,34.581,34.581,34.581,34.581,34.581,34.581,34.581,34.581,34.670,34.670,34.670,34.670,34.670,34.670,34.670,34.670,34.670,34.670,34.670,34.670,34.782,34.782,34.782
1992-07,34.391,34.391,34.391,34.391,34.390,34.391,34.391,34.391,34.391,34.391,34.391,34.391,34.390,34.391,34.391,34.391,34.391,34.391,34.391,34.391,34.391,34.391,34.391,34.391,34.391,34.497,34.497,34.497,34.497,34.497,34.497,34.497,34.497,34.497,34.497,34.497,34.497,34.601,34.601,34.601
1992-10,34.223,34.223,34.223,34.223,34.222,34.223,34.223,34.223,34.223,34.223,34.223,34.223,34.222,34.223,34.223,34.223,34.223,34.223,34.223,34.223,34.223,34.223,34.223,34.223,34.223,34.314,34.314,34.314,34.314,34.315,34.314,34.315,34.315,34.314,34.314,34.314,34.314,34.414,34.414,34.414
1993-01,34.163,34.163,34.163,34.163,34.166,34.163,34.164,34.164,34.164,34.164,34.163,34.163,34.166,34.163,34.164,34.164,34.164,34.163,34.164,34.164,34.163,34.163,34.163,34.163,34.163,34.232,34.232,34.232,34.232,34.232,34.232,34.232,34.232,34.232,34.232,34.232,34.232,34.325,34.325,34.325
1993-04,33.986,33.986,33.986,33.986,33.984,33.986,33.986,33.986,33.986,33.986,33.986,33.986,33.984,33.986,33.986,33.986,33.986,33.986,33.986,33.986,33.986,33.986,33.986,33.986,33.986,34.054,34.054,34.054,34.054,34.054,34.054,34.054,34.054,34.055,34.055,34.055,34.055,34.151,34.151,34.151
1993-07,33.835,33.835,33.835,33.835,33.834,33.835,33.835,33.835,33.835,33.835,33.835,33.835,33.834,33.835,33.835,33.835,33.835,33.835,33.835,33.835,33.835,33.835,33.835,33.835,33.835,33.935,33.935,33.935,33.935,33.935,33.935,33.935,33.935,33.935,33.935,33.935,33.935,34.033,34.033,34.033
1993-10,33.741,33.741,33.741,33.741,33.740,33.741,33.741,33.740,33.740,33.741,33.741,33.741,33.740,33.741,33.740,33.740,33.740,33.741,33.741,33.740,33.741,33.741,33.741,33.741,33.741,33.854,33.854,33.854,33.854,33.854,33.854,33.854,33.854,33.853,33.853,33.853,33.854,33.962,33.962,33.962
