"",2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,2005,2005,,,,,,2005,2005,2005,2005,2005,2010,2010,2010
Record meth,Manual,Manual,,,,,,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,112.50,112.50,112.50,112.50,112.50,112.50,112.50,112.50,112.51,112.51,112.51,112.51,121.55,121.55,121.55
1991-04,110.66,110.66,110.66,110.66,110.66,110.66,110.66,110.66,110.65,110.65,110.65,110.65,120.79,120.79,120.79
1991-07,110.14,110.14,110.14,110.14,110.14,110.14,110.14,110.14,110.14,110.14,110.14,110.14,120.83,120.83,120.83
1991-10,113.48,113.48,113.48,113.48,113.48,113.48,113.48,113.49,113.49,113.49,113.49,113.49,123.23,123.23,123.23
1992-01,114.71,114.71,114.71,114.71,114.71,114.71,114.71,114.71,114.71,114.71,114.71,114.71,124.06,124.06,124.06
1992-04,114.60,114.60,114.60,114.60,114.60,114.60,114.60,114.60,114.59,114.59,114.59,114.59,123.47,123.47,123.47
1992-07,116.36,116.36,116.36,116.36,116.36,116.36,116.36,116.36,116.36,116.36,116.36,116.36,126.29,126.29,126.29
1992-10,116.37,116.37,116.37,116.37,116.37,116.37,116.37,116.38,116.38,116.38,116.38,116.38,125.47,125.47,125.47
1993-01,119.23,119.23,119.23,119.23,119.23,119.23,119.23,119.23,119.23,119.23,119.23,119.23,129.16,129.16,129.16
1993-04,121.87,121.87,121.87,121.87,121.88,121.88,121.88,121.87,121.86,121.86,121.86,121.86,132.23,132.23,132.23
1993-07,122.23,122.23,122.23,122.23,122.22,122.22,122.22,122.22,122.21,122.21,122.21,122.21,132.95,132.95,132.95
1993-10,122.80,122.80,122.80,122.80,122.80,122.80,122.80,122.81,122.80,122.80,122.80,122.80,133.23,133.23,133.23
1994-01,122.39,122.39,122.39,122.39,122.38,122.38,122.38,122.39,122.39,122.39,122.39,122.39,132.50,132.50,132.50
1994-04,122.77,122.77,122.77,122.77,122.78,122.78,122.78,122.77,122.76,122.76,122.76,122.76,132.35,132.35,132.35
1994-07,123.33,123.33,123.33,123.33,123.35,123.35,123.35,123.34,123.32,123.32,123.32,123.32,132.43,132.43,132.43
1994-10,121.12,121.12,121.12,121.12,121.11,121.11,121.11,121.12,121.15,121.15,121.15,121.15,129.67,129.67,129.67
1995-01,118.88,118.88,118.88,118.88,118.89,118.89,118.89,118.90,118.89,118.89,118.89,118.89,126.71,126.71,126.71
1995-04,119.85,119.85,119.85,119.85,119.86,119.86,119.86,119.85,119.83,119.83,119.83,119.83,127.35,127.35,127.35
1995-07,120.80,120.80,120.80,120.80,120.81,120.81,120.81,120.79,120.76,120.76,120.76,120.76,128.13,128.13,128.13
1995-10,121.72,121.72,121.72,121.72,121.72,121.72,121.72,121.73,121.77,121.77,121.77,121.77,129.56,129.56,129.56
