"","name","id","L","D","dln","d2ln","lag","code","Source"
"IFO-C","Ifo index climate",39,1,1,NA,NA,0,NA,"ifo"
"IFO-EXP","Ifo expectations climate",40,1,1,NA,NA,0,NA,"ifo"
"IFOM-C","Ifo index manufacturing",41,1,1,NA,NA,0,NA,"ifo"
"IFOM-EXP","Ifo expectations manufacturing",42,1,1,NA,NA,0,NA,"ifo"
"IFOMI-C","Ifo index capital goods",43,1,1,NA,NA,0,NA,"ifo"
"IFOMI-EXP","Ifo expecations capital goods",44,1,1,NA,NA,0,NA,"ifo"
"IFOMV-C","Ifo index intermediate goods",45,1,1,NA,NA,0,NA,"ifo"
"IFOMV-EXP","Ifo expectations intermediate goods",46,1,1,NA,NA,0,NA,"ifo"
"IFOWH-C","Ifo index wholesale",47,1,1,NA,NA,0,NA,"ifo"
"IFOWH-EXP","Ifo expectations wholesale",48,1,1,NA,NA,0,NA,"ifo"
"ESI-INDU","Industrial confidence indicator (40%)",59,1,1,NA,NA,0,NA,"EC"
"ESI-SERV","Services confidence indicator (30%)",60,1,1,NA,NA,0,NA,"EC"
"ESI-C","Consumer confidence indicator (20%)",61,1,1,NA,NA,0,NA,"EC"
"ESI-TRADE","Retail trade confidence indicator (5%)",62,1,1,NA,NA,0,NA,"EC"
"ESI-CTR","Construction confidence indicator (5%)",63,1,1,NA,NA,0,NA,"EC"
"ESI","Economic sentiment indicator (average)",64,1,1,NA,NA,0,NA,"EC"
"ECBS2","Assessment of order-book levels                               ",53,1,1,NA,NA,0,NA,"EC"
"ECBS3","Assessment of export order-book levels                        ",54,1,1,NA,NA,0,NA,"EC"
"ECBS4","Assessment of stocks of finished products                     ",55,1,1,NA,NA,0,NA,"EC"
"ECBS5","Production expectations for the months ahead                  ",56,1,1,NA,NA,0,NA,"EC"
"ECBS6","Selling price expectations for the months ahead               ",57,1,1,NA,NA,0,NA,"EC"
"ECBS7","Employment expectations for the months ahead                  ",58,1,1,NA,NA,0,NA,"EC"
"ECCS99","Confidence Indicator (Q2 + Q4 - Q7 + Q11) / 4                               ",65,1,1,NA,NA,0,NA,"EC"
"ECCS1","Financial situation over last 12 months",66,1,1,NA,NA,0,NA,"EC"
"ECCS2","Financial situation over next 12 months",67,1,1,NA,NA,0,NA,"EC"
"ECCS3","General economic situation over last 12 months",68,1,1,NA,NA,0,NA,"EC"
"ECCS4","General economic situation over next 12 months",69,1,1,NA,NA,0,NA,"EC"
"ECCS5","Price trends over last 12 months",70,1,1,NA,NA,0,NA,"EC"
"ECCS6","Price trends over next 12 months",71,1,1,NA,NA,0,NA,"EC"
"ECCS7","Unemployment expectations over next 12 months",72,1,1,NA,NA,0,NA,"EC"
"ECCS8","Major purchases at present",73,1,1,NA,NA,0,NA,"EC"
"ECCS9","Major purchases over next 12 months",74,1,1,NA,NA,0,NA,"EC"
"ECCS10","Savings at present",75,1,1,NA,NA,0,NA,"EC"
"ECCS11","Savings over next 12 months",76,1,1,NA,NA,0,NA,"EC"
"ECCS12","Statement on financial situation of household",77,1,1,NA,NA,0,NA,"EC"
