"id","qdap_value","qdap_nword","sent_nneg","sent_npos","sent_negv","sent_posv","sent_nwords","sent_val","posextind","negextind","valuext"
"23615",0.0892715423499706,446,9,18,-2.8077,2.5102,450,-0.2975,2.2211,-2.7885,-0.5674
"23616",-0.0497279697229099,1028,30,32,-9.4699,3.3399,1034,-6.13,2.6799,-7.2357,-4.5558
"23617",-0.0271634815465494,370,6,9,-2.2101,0.4491,375,-1.761,0.3414,-1.6688,-1.3274
"23618",0.00293535971111947,404,4,15,-1.1316,0.8909,407,-0.2407,0.8389,-1.1268,-0.2879
"23619",-0.00136576941207384,828,7,20,-1.2652,0.4782,832,-0.787,0.3361,-1.2508,-0.9147
"23620",-0.113641883291053,2773,60,92,-17.6333,7.885,2782,-9.7483,6.5806,-13.6655,-7.0849
"23621",-0.0449835095925796,207,3,9,-0.21,0.0436,212,-0.1664,0,-0.2004,-0.2004
"23622",0.0150941828350054,449,9,21,-1.8714,2.2957,453,0.4243,2.0663,-1.7629,0.3034
"23623",0.0620264150004211,1166,22,39,-5.6845,3.9673,1174,-1.7172,3.7714,-5.4454,-1.674
"23624",0.0485217651154869,645,26,16,-8.6797,1.5832,652,-7.0965,1.4528,-6.6819,-5.2291
"23625",0.000220820978989553,210,2,6,-0.8671,0.024,215,-0.8431,0,-0.8671,-0.8671
"23626",-0.0581336765019153,518,8,9,-2.8594,1.6406,522,-1.2188,1.6246,-2.845,-1.2204
"23627",-0.0154133912093163,175,5,2,-0.366,0.0829,180,-0.2831,0,-0.3468,-0.3468
"23628",-0.0628166678669345,210,7,3,-2.3841,0.0798,215,-2.3043,0,-2.0352,-2.0352
"23629",0.0663512878605874,2373,46,84,-15.1325,6.6978,2391,-8.4347,4.4461,-12.8226,-8.3765
"23630",-0.0663290670101335,115,3,2,-0.7113,0.008,120,-0.7033,0,-0.7065,-0.7065
"23631",-0.021111646720525,1776,46,46,-10.5846,3.2998,1787,-7.2848,2.7208,-8.3297,-5.6089
"23632",-0.0146359980962365,586,8,34,-2.0444,4.9423,592,2.8979,3.9192,-2.0252,1.894
"23633",0.0238182035045009,66,0,2,0,0.1975,71,0.1975,0.1935,0,0.1935
"23634",-0.0391121700888177,265,7,10,-2.0262,0.4076,270,-1.6186,0.3716,-1.911,-1.5394
"23635",-0.0505942048977032,325,2,6,-0.6669,0.1,330,-0.5669,0,-0.6621,-0.6621
"23636",0.036171347945767,524,6,20,-1.848,0.6638,528,-1.1842,0.4324,-1.8384,-1.406
"23637",0.00220129739637167,352,12,17,-4.4734,2.0128,356,-2.4606,1.5932,-3.7092,-2.116
"23638",-0.0540949412185759,544,10,33,-2.257,2.2166,547,-0.0404,1.7921,-2.1441,-0.352
"23639",-0.119073381600803,1846,48,79,-12.731,6.0214,1855,-6.7096,3.5394,-10.3439,-6.8045
"23640",0.0118710364405489,405,6,8,-2.5558,1.2694,410,-1.2864,1.0951,-2.5558,-1.4607
"23641",-0.122568498151566,184,5,1,-2.2425,0.2291,187,-2.0134,0.2291,-2.2377,-2.0086
"23642",-0.0373671649052324,766,21,27,-4.9385,2.3163,769,-2.6222,2.043,-3.9946,-1.9516
"23643",-0.0431560794388298,1553,20,46,-6.6249,6.093,1564,-0.5319,3.2066,-6.3258,-3.1192
"23644",-0.017766398243371,214,0,8,0,0.8263,219,0.8263,0.7276,0,0.7276
"23645",-0.173607959507437,369,13,9,-4.8112,0.7818,374,-4.0294,0.7538,-4.8064,-4.0526
"23646",0.105555190422396,231,1,10,-0.3323,1.0812,236,0.7489,1.0532,-0.3323,0.7209
"23647",0.0202794098355163,708,7,30,-1.7126,1.9458,714,0.2332,1.691,-1.6738,0.0171999999999999
"23648",0.0156360185030226,134,1,6,-0.0576,0.6702,137,0.6126,0.6502,0,0.6502
"23649",0.043537118309917,492,12,21,-2.2447,2.3008,496,0.0561000000000003,1.5198,-2.1282,-0.6084
"23650",-0.0278478410591491,151,2,1,-0.351,0.004,157,-0.347,0,-0.3462,-0.3462
"23651",0.00984094266533308,118,0,5,0,0.1149,121,0.1149,0,0,0
"23652",0.0363586503642624,103,1,5,-0.0292,0.02,106,-0.0092,0,0,0
"23653",0.0560817555578605,124,1,4,-0.3865,0.6245,127,0.238,0.4847,-0.3865,0.0982
"23654",-0.0565868375973993,1268,18,61,-4.1323,4.8103,1276,0.678,2.8145,-4.0742,-1.2597
"23655",0.0316245093090959,219,5,14,-1.0083,1.5268,222,0.5185,1.4868,-1.0035,0.4833
