"id","Inflation","InflationMutationen"
"45558","0","0"
"45559","0","0"
"45560","0","0"
"45561","0","0"
"45562","0","0"
"45563","0","0"
"45564","0","0"
"45565","0","0"
"45566","0","1"
"45567","0","0"
"45568","0","0"
"45569","0","0"
"45570","0","0"
"45571","0","0"
"45572","0","0"
"45573","0","0"
"45574","0","0"
"45575","0","0"
"45576","0","0"
"45577","0","0"
"45578","0","0"
"45579","0","0"
"45580","0","0"
"45581","0","0"
"45582","0","0"
"45583","0","0"
"45584","0","0"
"45585","0","0"
"45586","0","0"
"45587","0","0"
"45588","0","0"
"45589","0","0"
"45590","0","0"
"45591","0","0"
"45592","0","0"
"45593","0","0"
"45594","0","0"
"45595","0","0"
"45596","0","0"
"45597","0","0"
"45598","0","0"
"45599","0","0"
"45600","0","0"
"45601","1","1"
"45602","0","0"
"45603","0","0"
"45604","0","0"
"45605","0","0"
"45606","0","0"
"45607","0","0"
"45608","0","0"
"45609","0","0"
"45610","0","0"
"45611","0","0"
"45612","0","0"
"45613","0","0"
"45614","0","0"
"45615","0","0"
"45616","0","0"
"45617","0","0"
"45618","0","0"
"45619","0","0"
"45620","0","0"
"45621","0","0"
"45622","1","1"
"45623","1","1"
"45624","0","0"
"45625","0","0"
"45626","0","0"
"45627","0","0"
"45628","1","1"
"45629","0","0"
"45630","1","1"
"45631","0","0"
"45632","0","0"
"45633","1","1"
"45634","0","0"
"45635","0","0"
"45636","0","0"
"45637","0","0"
"45638","1","1"
"45639","0","0"
"45640","0","0"
"45641","0","0"
