"id","qdap_value_ampl","qdap_nword"
"54236","-9.59294","1269"
"54237","-5.59866","1328"
"54238","-4.88506","851"
"54239","-3.67348","793"
"54240","-0.6597","490"
"54241","-1.14334","639"
"54242","-0.8362","349"
"54243","1.4146","1207"
"54244","-1.0568","437"
"54245","-3.47332","1395"
"54246","-2.61766","495"
"54247","-0.43632","532"
"54248","-3.56792","813"
"54249","-11.47962","2096"
"54250","-4.0135","1073"
"54251","-6.22926","701"
"54252","-9.1132","879"
"54253","-11.56832","1865"
"54254","2.24756","901"
"54255","-0.6631","3938"
"54256","-1.44008","688"
"54257","-0.5147","867"
"54258","0.62352","357"
"54259","0.77986","1084"
"54260","1.36946","674"
"54261","-4.10554","2420"
"54262","1.76328","1921"
"54263","0.1011","493"
"54264","0.2695","303"
"54265","1.2028","284"
"54266","0.144","253"
"54267","-1.5426","577"
"54268","-2.66562","674"
"54269","-23.1941","4236"
"54270","-4.48138","2530"
"54271","-3.64638","1004"
"54272","-0.68384","1358"
"54273","-4.46238","1601"
"54274","0.32846","2220"
"54275","-3.54092","1215"
