"id","qdap_value","qdap_nword","sent_nneg","sent_npos","sent_negv","sent_posv","sent_nwords","sent_val","posextind","negextind","valuext","issue","year"
"20069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20074",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20098",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
"20112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1999"
