"title","number","date","keywords","link"
"Für die Iraker ist der Alptraum noch nicht zu Ende. Doch die Weltöffentlichkeit wendet sich gelangweilt ab: Wie Saddam weiter wütet |","1992.27.4212","1992-06-26","DIE ZEIT, Für die Iraker ist der Alptraum noch nicht zu Ende. Doch die Weltöffentlichkeit wendet sich gelangweilt ab, George W.  Bush, Saddam Hussein, Irak, Vereinte Nationen, Golfkrieg, Iran, Syrien, Bagdad, Wien, Kurdistan, Washington D.C","http://www.zeit.de/1992/27/wie-saddam-weiter-wuetet"
"Schon vor der Abstimmung im Parlament über die Reform des Paragraphen 218 gab es auf dem Kleinen Parteitag der CDU eine heftige Kontroverse zwischen Helmut Kohl und Rita Süssmuth. Der Kanzler verlangt Loyalität zur Partei; für die Bundestagspräsidentin gibt es in moralischen Fragen keine Kompromisse: Wenn das Gewissen entscheidet |","1992.27.4213","1992-06-26","DIE ZEIT, Schon vor der Abstimmung im Parlament über die Reform des Paragraphen 218 gab es auf dem Kleinen Parteitag der CDU eine heftige Kontroverse zwischen Helmut Kohl und Rita Süssmuth. Der Kanzler verlangt Loyalität zur Partei; für die Bundestagspräsidentin gibt es in moralischen Fragen keine Kompromisse, CDU, Parlament, Rita Süssmuth, Grundgesetz, Karl Rahner, Thomas von Aquin, Parteitag, Reform","http://www.zeit.de/1992/27/wenn-das-gewissen-entscheidet"
"Tschechen und Slowaken bereiten ihre Scheidung vor: Schwejk schießt nicht so schnell |","1992.27.4214","1992-06-26","DIE ZEIT, Tschechen und Slowaken bereiten ihre Scheidung vor, Scheidung, Václav Havel, Autonomie, Energieversorgung, Frühling, Gastarbeiter, Romantik, Slowakei, Veteran, Wahlkampf, Italien, Moldawien, Polen, Tschechische Republik, Tschechoslowakei, Ungarn, Moldau","http://www.zeit.de/1992/27/schwejk-schiesst-nicht-so-schnell"
"Friedens-Nobelpreisträger Elie Wiesel kämpft gegen das Vergessen und kritisiert Kohl: ,,Nur die Schuldigen sind schuldig“ |","1992.27.4215","1992-06-26","DIE ZEIT, Friedens-Nobelpreisträger Elie Wiesel kämpft gegen das Vergessen und kritisiert Kohl, Adolf Hitler, Elie Wiesel, Buchenwald, Bundeskanzler, USA, Österreich, Karlsruhe, Wien, Auschwitz, Berlin, Bonn, Boston, Europa, München, New York","http://www.zeit.de/1992/27/nur-die-schuldigen-sind-schuldig"
"Worte der Woche |","1992.27.4216","1992-06-26","DIE ZEIT, , CDU, George W.  Bush, Helmut Kohl, Wolfgang Schäuble, Berti Vogts, Boris Jelzin, Jacques Delors, Eugen Drewermann, Europäische Gemeinschaft, Giuliano Amato, Hautfarbe, Joachim Meisner, Krieg, Papst, Präsident, Religion, Schwangerschaftsabbruch, Slobodan Miloševic, Sprache, US-Präsident, Georgien, Jugoslawien, Marokko, Moldawien, Russland","http://www.zeit.de/1992/27/worte-der-woche"
"Die irakischen Kurden sind auf den Westen angewiesen: Rivalität vertagt |","1992.27.4217","1992-06-26","DIE ZEIT, Die irakischen Kurden sind auf den Westen angewiesen, Saddam Hussein, Schmuggel, Irak, Iran, Kurden, Bagdad, Kurdistan","http://www.zeit.de/1992/27/rivalitaet-vertagt"
"Sind die Maastrichter Verträge mit dem Grundgesetz vereinbar? Drei Verfassungsrechtler warnen: „Wir wollen kein undemokratisches Europa“ |","1992.27.4218","1992-06-26","DIE ZEIT, Sind die Maastrichter Verträge mit dem Grundgesetz vereinbar? Drei Verfassungsrechtler warnen, Ernst Benda, Grundgesetz, Bundesbank, Bundesregierung, Bundesrat, Bundesverfassungsgericht, Föderalismus, Universität Freiburg, Europa, MIT, Brüssel, Maastricht, Bayern, Bonn, Freiburg","http://www.zeit.de/1992/27/wir-wollen-kein-undemokratisches-europa"
"Die Verantwortung des Wissenschaftlers in unserer Zeit: Der Physiker und Philosoph Carl Friedrich von Weizsäcker wird in dieser Woche 80 Jahre alt. Mit ihm sprachen Marion Gräfin Dönhoff und Theo Sommer: „Der Wandel des Bewußtseins ist unterwegs“ |","1992.27.4219","1992-06-26","DIE ZEIT, Die Verantwortung des Wissenschaftlers in unserer Zeit: Der Physiker und Philosoph Carl Friedrich von Weizsäcker wird in dieser Woche 80 Jahre alt. Mit ihm sprachen Marion Gräfin Dönhoff und Theo Sommer, Otto Hahn, Robert Jungk, Sommer, Georg Picht, Werner Heisenberg, Winston Churchill, Wissenschaft, Askese, Atombombe, Atomwaffe, Erdbeben, Ethik, Katastrophe, Krieg, Philosophie, Physik, Richard Freiherr von Weizsäcker, Vereinte Nationen, Vernunft, Weltkrieg, China, Indien, MIT, Malediven, Physik, Sowjetunion, USA, Richard Freiherr von Weizsäcker, Asien, Berlin, Europa, Hamburg, Heidelberg","http://www.zeit.de/1992/27/der-wandel-des-bewusstseins-ist-unterwegs"
"Zeitspiegel |","1992.27.4220","1992-06-26","DIE ZEIT, , Blauhelm, Dollar, Freizeit, Friedensengel, Gastarbeiter, Khmer, Kino, Körperverletzung, Propaganda, Walt Disney, Kambodscha, Berlin, Hamburg, Köln, München, Phnom Penh","http://www.zeit.de/1992/27/zeitspiegel"
"Seit einem Jahr herrscht in Jugoslawien Krieg. Die Serben morden kalten Blutes, doch auch die Kroaten schlagen brutal zu. In Jugoslawien wächst das Grauen. Ein Ende der Schlächterei ist nicht in Sicht: Ein Land läuft Amok |","1992.27.4221","1992-06-26","DIE ZEIT, Seit einem Jahr herrscht in Jugoslawien Krieg. Die Serben morden kalten Blutes, doch auch die Kroaten schlagen brutal zu. In Jugoslawien wächst das Grauen. Ein Ende der Schlächterei ist nicht in Sicht, Franjo Tudjman, Hans-Dietrich Genscher, Slobodan Miloševic, Jugoslawien, Alija Izetbegovic, Cyrus Vance, Josip Broz Tito, Kroatien, Bosnien und Herzegowina, Serbien, Slowenien, Libanon, Zagreb, Sarajevo, Ljubljana","http://www.zeit.de/1992/27/ein-land-laeuft-amok"
