"wort","wert"
"<U+FEFF>Abmachung",0.004
"Abmachungen",0.004
"Abschluß",0.004
"Abschlüße",0.004
"Abschlußs",0.004
"Abschlußes",0.004
"Abschlüßen",0.004
"Abstimmung",0.004
"Abstimmungen",0.004
"Agilität",0.004
"Aktivität",0.004
"Aktivitäten",0.004
"Aktualisierung",0.004
"Aktualisierungen",0.004
"Aktualität",0.004
"Aktualitäten",0.004
"Akzeptanz",0.004
"Andrang",0.004
"Andrangs",0.004
"Andranges",0.004
"Anerkennung",0.0855
"Anerkennungen",0.0855
"Angebot",0.0711
"Angeboten",0.0711
"Angebote",0.0711
"Angebots",0.0711
"Angebotes",0.0711
"Angemessenheit",0.004
"Anhebung",0.004
"Anhebungen",0.004
"Anheiterung",0.004
"Ankurbelung",0.004
"Annehmlichkeit",0.004
"Annehmlichkeiten",0.004
"Annäherung",0.004
"Annäherungen",0.004
"Anpassung",0.004
"Anpassungen",0.004
"Anpassungsfähigkeit",0.004
"Anreicherung",0.004
"Anreicherungen",0.004
"Anspruch",0.004
"Anspruchs",0.004
"Anspruches",0.004
"Ansprüchen",0.004
"Ansprüche",0.004
"Anstand",0.004
"Anstands",0.004
"Anständen",0.004
"Anstände",0.004
"Anstandes",0.004
"Anstieg",0.004
"Anstiegen",0.004
"Anstiegs",0.004
"Anstiege",0.004
"Anstieges",0.004
"Anständigkeit",0.004
"Anteil",0.004
"Anteilen",0.004
"Anteiles",0.004
"Anteils",0.004
"Anteile",0.004
"Anziehung",0.004
"Anziehungen",0.004
"Applaus",0.0871
"Applausen",0.0871
"Applauss",0.0871
"Applause",0.0871
"Applauses",0.0871
"Attraktivität",0.004
"Aufbereitung",0.004
"Aufbereitungen",0.004
"Aufbesserung",0.004
"Aufbesserungen",0.004
"Auferstehung",0.004
"Auferstehungen",0.004
"Aufmerksamkeit",0.004
"Aufmerksamkeiten",0.004
"Aufmunterung",0.004
"Aufmunterungen",0.004
"Aufrichtigkeit",0.004
"Aufschwung",0.004
"Aufschwüngen",0.004
"Aufschwungs",0.004
"Aufschwunges",0.004
"Aufschwünge",0.004
"Aufstieg",0.004
"Aufstiegen",0.004
"Aufstiege",0.004
"Aufstiegs",0.004
"Aufstieges",0.004
"Aufstockung",0.004
"Aufstockungen",0.004
"Auftrag",0.004
"Aufträgen",0.004
"Aufträge",0.004
"Auftrages",0.004
"Auftrags",0.004
"Auftrieb",0.004
"Auftrieben",0.004
"Auftriebs",0.004
"Auftriebes",0.004
"Auftriebe",0.004
"Aufwertung",0.004
